country;category;USD
Somalia;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;4100000
Somalia;TERRESTRIAL ECOSYSTEMS;6450000
Somalia;WATER RESOURCES;8100000
Sudan;CROSS-SECTORIAL;2800000
Sudan;CROSS-SECTORIAL;2500000
Sudan;CROSS-SECTORIAL;5000000
Sudan;FOOD SECURITY;2350000
Sudan;TERRESTRIAL ECOSYSTEMS;2400000
Tanzania;FOOD SECURITY;8500000
Tanzania;ENERGY;620000
Tanzania;HEALTH;650000
Tanzania;TERRESTRIAL ECOSYSTEMS;3300000
Tanzania;WATER RESOURCES;800000
Tanzania;WATER RESOURCES;3300000
Timor Leste;WATER RESOURCES;3700000
Timor-Leste;FOOD SECURITY;3600000
Timor-Leste;FOOD SECURITY;2300000
Timor-Leste;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;2600000
Timor-Leste;EDUCATION/ CAPACITY BUILDING;1300000
Timor-Leste;HEALTH;1700000
Timor-Leste;INFRASTRUCTURE;2000000
Timor-Leste;INFRASTRUCTURE;1300000
Timor-Leste;TERRESTRIAL ECOSYSTEMS;3000000
Togo;FOOD SECURITY;3500000
Togo;FOOD SECURITY;2150000
Togo;COASTAL ZONES AND MARINE ECOSYSTEMS;6250000
Togo;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;6250000
Togo;HEALTH;2000000
Togo;WATER RESOURCES;2150000
Togo;WATER RESOURCES;4250000
Tuvalu;FOOD SECURITY;2220000
Tuvalu;COASTAL ZONES AND MARINE ECOSYSTEMS;1906500
Tuvalu;COASTAL ZONES AND MARINE ECOSYSTEMS;636500
Tuvalu;COASTAL ZONES AND MARINE ECOSYSTEMS;462000
Tuvalu;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;388000
Tuvalu;HEALTH;381500
Tuvalu;WATER RESOURCES;2675300
Uganda;CROSS-SECTORIAL;1200000
Uganda;CROSS-SECTORIAL;1200000
Uganda;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;6500000
Uganda;HEALTH;8000000
Uganda;TERRESTRIAL ECOSYSTEMS;5500000
Uganda;TERRESTRIAL ECOSYSTEMS;4700000
Uganda;TERRESTRIAL ECOSYSTEMS;3000000
Uganda;WATER RESOURCES;4700000
Uganda;WATER RESOURCES;5000000
Vanuatu;FOOD SECURITY;2000000
Vanuatu;COASTAL ZONES AND MARINE ECOSYSTEMS;1000000
Vanuatu;TERRESTRIAL ECOSYSTEMS;1000000
Vanuatu;TOURISM;1000000
Vanuatu;WATER RESOURCES;1000000
Yemen;CROSS-SECTORIAL;4780000
Yemen;FOOD SECURITY;2810000
Yemen;FOOD SECURITY;315000
Yemen;FOOD SECURITY;1180000
Yemen;COASTAL ZONES AND MARINE ECOSYSTEMS;3200000
Yemen;COASTAL ZONES AND MARINE ECOSYSTEMS;2450000
Yemen;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;350000
Yemen;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;5000000
Yemen;EDUCATION/ CAPACITY BUILDING;650000
Yemen;EDUCATION/ CAPACITY BUILDING;820000
Yemen;TERRESTRIAL ECOSYSTEMS;2330000
Yemen;WATER RESOURCES;3200000
Zambia;CROSS-SECTORIAL;3000000
Zambia;FOOD SECURITY;175000
Zambia;FOOD SECURITY;1200000
Zambia;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT;1800000
Zambia;EDUCATION/ CAPACITY BUILDING;3000000
Zambia;HEALTH;2000000
Zambia;TERRESTRIAL ECOSYSTEMS;1400000
Zambia;TERRESTRIAL ECOSYSTEMS;1000000
Zambia;TERRESTRIAL ECOSYSTEMS;1000000
Zambia;WATER RESOURCES;75000
